filename,width,height,class,xmin,ymin,xmax,ymax
09a88cfc0b267505b65e2f80e40e0ca9.jpg,1009,603,ct-head,400,33,596,243
09a88cfc0b267505b65e2f80e40e0ca9.jpg,1009,603,ct,344,31,720,603
1maxresdefault.jpg,1280,720,ct-head,660,7,1007,340
1maxresdefault.jpg,1280,720,ct,542,4,1265,720
23cc65de-dfac-4b11-bddc-3ccb52647c19.jpg,1280,720,tt-head,592,63,657,164
23cc65de-dfac-4b11-bddc-3ccb52647c19.jpg,1280,720,tt-head,963,91,1033,177
23cc65de-dfac-4b11-bddc-3ccb52647c19.jpg,1280,720,tt-head,264,86,321,147
23cc65de-dfac-4b11-bddc-3ccb52647c19.jpg,1280,720,tt,831,95,1069,635
23cc65de-dfac-4b11-bddc-3ccb52647c19.jpg,1280,720,tt,499,63,754,685
23cc65de-dfac-4b11-bddc-3ccb52647c19.jpg,1280,720,tt,204,85,390,645
3ad3891db4afb29611190bcfef448e00-1200-80.jpg,1200,675,tt,474,72,1185,675
3ad3891db4afb29611190bcfef448e00-1200-80.jpg,1200,675,tt-head,807,77,993,365
4f67447c34370eb99c136ff472fa5093-1200-80.jpg,800,450,tt,240,27,569,450
4f67447c34370eb99c136ff472fa5093-1200-80.jpg,800,450,tt-head,359,27,471,165
57295e1d636d3.jpg,1018,577,tt,370,81,602,520
57295e1d636d3.jpg,1018,577,tt-head,486,83,559,176
5zHA4DXhWdQfiyaBKXeQyg.jpg,3840,2160,tt-head,3035,879,3508,1263
5zHA4DXhWdQfiyaBKXeQyg.jpg,3840,2160,tt-head,2216,863,2621,1425
5zHA4DXhWdQfiyaBKXeQyg.jpg,3840,2160,tt-head,1329,885,1632,1266
5zHA4DXhWdQfiyaBKXeQyg.jpg,3840,2160,tt-head,747,906,999,1185
5zHA4DXhWdQfiyaBKXeQyg.jpg,3840,2160,tt-head,201,928,504,1195
70.jpg,760,428,ct-head,520,82,574,157
70.jpg,760,428,ct,458,85,627,428
aim_map_csgo0000.jpg,1366,768,tt-head,840,345,858,363
aim_map_csgo0000.jpg,1366,768,tt-head,593,384,614,403
aim_map_csgo0000.jpg,1366,768,tt,834,344,869,436
aim_map_csgo0000.jpg,1366,768,tt,585,382,640,470
aim_map_csgo0001.jpg,1366,768,tt-head,394,393,434,421
aim_map_csgo0001.jpg,1366,768,tt-head,763,333,786,358
aim_map_csgo0001.jpg,1366,768,tt,739,333,823,455
aim_map_csgo0001.jpg,1366,768,tt-head,379,393,474,540
aim_map_csgo0002.jpg,1366,768,tt-head,381,452,431,497
aim_map_csgo0002.jpg,1366,768,tt-head,625,381,652,409
aim_map_csgo0002.jpg,1366,768,tt,362,447,488,667
aim_map_csgo0002.jpg,1366,768,tt,618,382,697,544
aim_map_csgo0003.jpg,1366,768,tt-head,632,278,718,383
aim_map_csgo0003.jpg,1366,768,tt,582,278,813,768
aim_map_csgo0004.jpg,1366,768,tt,734,289,749,308
aim_map_csgo0004.jpg,1366,768,ct,669,354,709,423
aim_map_csgo0004.jpg,1366,768,ct-head,685,354,699,368
aim_map_csgo0005.jpg,1366,768,tt,694,347,712,368
aim_map_csgo0005.jpg,1366,768,ct-head,629,425,652,448
aim_map_csgo0005.jpg,1366,768,ct,612,424,662,538
aim_map_csgo0006.jpg,1366,768,ct-head,813,416,848,455
aim_map_csgo0006.jpg,1366,768,ct,792,413,872,620
aim_map_csgo0006.jpg,1366,768,tt-head,895,332,904,343
aim_map_csgo0006.jpg,1366,768,tt,891,333,914,358
aim_map_csgo0007.jpg,1366,768,ct-head,528,464,557,495
aim_map_csgo0007.jpg,1366,768,ct-head,686,431,702,448
aim_map_csgo0007.jpg,1366,768,ct,503,464,589,637
aim_map_csgo0007.jpg,1366,768,ct,681,430,714,471
aim_map_csgo0008.jpg,1366,768,ct,381,402,574,768
aim_map_csgo0008.jpg,1366,768,ct,675,387,738,450
aim_map_csgo0008.jpg,1366,768,ct-head,436,405,520,501
aim_map_csgo0008.jpg,1366,768,ct-head,690,388,713,413
aim_map_csgo0009.jpg,1366,768,tt-head,431,193,457,216
aim_map_csgo0010.jpg,1366,768,ct,445,384,566,688
aim_map_csgo0010.jpg,1366,768,ct-head,470,383,528,445
aim_map_csgo0010.jpg,1366,768,tt,946,392,970,413
aim_map_csgo0010.jpg,1366,768,tt,916,393,938,412
aim_map_csgo0010.jpg,1366,768,tt-head,954,392,964,402
aim_map_csgo0010.jpg,1366,768,tt-head,922,393,932,402
aim_map_csgo0011.jpg,1366,768,tt-head,693,389,711,407
aim_map_csgo0011.jpg,1366,768,tt,679,390,713,478
aim_map_csgo0011.jpg,1366,768,tt-head,66,358,82,375
aim_map_csgo0011.jpg,1366,768,tt,54,358,94,392
aim_map_csgo0012.jpg,1366,768,tt-head,1056,421,1077,440
aim_map_csgo0012.jpg,1366,768,tt,1047,420,1096,468
aim_map_csgo0013.jpg,1366,768,tt,595,288,616,311
aim_map_csgo0013.jpg,1366,768,tt-head,597,289,606,297
aim_map_csgo0014.jpg,1366,768,ct-head,1046,465,1066,480
aim_map_csgo0014.jpg,1366,768,ct,1038,463,1081,538
aim_map_csgo0015.jpg,1366,768,ct-head,673,462,700,495
aim_map_csgo0015.jpg,1366,768,ct,625,464,705,652
aim_map_csgo0015.jpg,1366,768,ct,162,474,231,595
aim_map_csgo0015.jpg,1366,768,ct-head,201,473,223,495
aim_map_csgo0016.jpg,1366,768,ct,660,315,725,469
aim_map_csgo0016.jpg,1366,768,ct-head,685,314,713,342
aim_map_csgo0017.jpg,1366,768,tt,1,240,209,642
aim_map_csgo0017.jpg,1366,768,tt-head,36,240,146,331
aim_map_csgo0018.jpg,1366,768,tt,704,291,834,573
aim_map_csgo0018.jpg,1366,768,tt-head,777,290,828,342
aim_map_csgo0018.jpg,1366,768,ct,893,211,932,304
aim_map_csgo0018.jpg,1366,768,ct-head,908,212,925,231
aim_map_csgo0019.jpg,1366,768,tt,244,351,356,608
aim_map_csgo0019.jpg,1366,768,tt-head,301,354,350,393
aim_map_csgo0019.jpg,1366,768,ct,836,320,867,399
aim_map_csgo0019.jpg,1366,768,ct,674,315,719,397
aim_map_csgo0019.jpg,1366,768,ct-head,453,283,468,296
aim_map_csgo0019.jpg,1366,768,ct-head,681,314,704,331
aim_map_csgo0019.jpg,1366,768,ct-head,843,320,859,335
aim_map_csgo0020.jpg,1366,768,ct,664,290,710,397
aim_map_csgo0020.jpg,1366,768,ct-head,667,291,690,308
aim_map_csgo0020.jpg,1366,768,ct,876,291,921,397
aim_map_csgo0020.jpg,1366,768,ct-head,882,291,902,312
aim_map_csgo0021.jpg,1366,768,ct,767,294,855,531
aim_map_csgo0021.jpg,1366,768,ct,1,259,264,763
aim_map_csgo0021.jpg,1366,768,ct-head,1,257,114,372
aim_map_csgo0021.jpg,1366,768,ct-head,780,291,824,330
aim_map_csgo0022.jpg,1366,768,ct,679,300,728,390
aim_map_csgo0022.jpg,1366,768,ct-head,692,300,708,313
aim_map_csgo0023.jpg,1366,768,tt,566,361,637,565
aim_map_csgo0023.jpg,1366,768,tt-head,580,365,612,403
aim_map_csgo0024.jpg,1366,768,tt-head,429,343,444,359
aim_map_csgo0025.jpg,1366,768,tt,38,378,136,494
aim_map_csgo0025.jpg,1366,768,tt-head,48,382,83,410
aim_map_csgo0025.jpg,1366,768,tt-head,822,414,833,430
aim_map_csgo0025.jpg,1366,768,tt,809,414,838,450
aim_map_csgo0026.jpg,1366,768,ct,739,307,763,357
aim_map_csgo0026.jpg,1366,768,ct,783,264,806,311
aim_map_csgo0026.jpg,1366,768,ct-head,750,307,761,317
aim_map_csgo0026.jpg,1366,768,ct-head,797,264,805,273
aim_map_csgo0027.jpg,1366,768,ct,676,208,758,460
aim_map_csgo0027.jpg,1366,768,ct,591,266,615,325
aim_map_csgo0027.jpg,1366,768,ct,611,215,632,270
aim_map_csgo0027.jpg,1366,768,ct-head,712,208,751,242
